Make	Model	Year	Sell Year	Hours	Sold	In Ca	Steel Tracks	Steel & shoes	Thumb	Bucket (s)	Closed Cab	Cond / 5	Power HP	Weight Kg	Price CAD	Pred (ask)	Pred (bid)	Net (ask)	Net (bid)	Percent Error	Url	Deprec / hr	Deprec / year	Deprec / 5y + 3000hr  + 1 cond	
Hit	ZX50UNA-2	2010	2022.2	7600	1					1		2.5	40	4730	21247	28284	28284	7037	7037	33.1%	https://www.machinerytrader.com/listing/auction-results/210955119/2010-hitachi-zx50una-2-mini-up-to-12000-lbs-excavators	1.329	650	9054	2017
Bob	341G	2007	2021.4	2600	1					1	1	2.5	48	5289	24432	36348	36348	11916	11916	48.8%	https://www.machinerytrader.com/listing/auction-results/203408349/2007-bobcat-341g-mini-up-to-12000-lbs-excavators	1.708	836	11635	-281
Tak	TB180FR	2011	2022.5	5441	1					1	1	2	61	8409	34300	49178	49178	14878	14878	43.4%	https://www.machinerytrader.com/listing/auction-results/214806271/2011-takeuchi-tb180fr-crawler-excavators	2.311	1131	15742	865
Kom	PC30MR-1	2001	2020.7	6593	1					1	1	2	26	2930	10375	12660	12660	2285	2285	22.0%	https://www.machinerytrader.com/listing/auction-results/195948017/2001-komatsu-pc30mr-1-mini-up-to-12000-lbs-excavators	0.595	291	4053	1767
Tak	TB35	1998	2020.7	7697	1					1	1	2	33	3470	12775	15078	15078	2303	2303	18.0%	https://www.machinerytrader.com/listing/auction-results/195907185/1998-takeuchi-tb35-mini-up-to-12000-lbs-excavators	0.709	347	4827	2524
Kub	KX161-3	2008	2022.5	3600		1		1	1	2	1	4.5	47	5242	45500	60196	54598	14696	9098	32.3%	https://www.kijiji.ca/v-heavy-equipment-machinery/mississauga-peel-region/kubota-excavator-kx161-3-hyd-thumb-qc-2bkt-2-s-tr/1623315889?cid=59458f96-7550-4573-966b-ea7278d7af7c	2.566	1255	17477	2782
Cat	304C	2015	2021.5	1182	1				1	1	1	3	43	4800	36675	49761	49761	13086	13086	35.7%	https://www.machinerytrader.com/listing/auction-results/204680245/2015-caterpillar-304c-mini-up-to-12000-lbs-excavators	2.339	1144	15929	2843
Doos	DX35Z	2009	2021.9	4718	1							3	25	3500	18826	22574	22574	3748	3748	19.9%	https://www.machinerytrader.com/listing/auction-results/209052411/2009-doosan-dx35z-mini-up-to-12000-lbs-excavators	1.061	519	7226	3478
Bob	331	2005	2022.4	2100	1	1				1		3.5	40	3259	29000	37304	37304	8304	8304	28.6%	https://www.kijiji.ca/v-heavy-equipment-machinery/peterborough/bobcat-excavator-331-extendahoe/1618868682	1.753	858	11941	3637
Kom	PC40	1994	2020.5	6361	1					1	1	2	38	4670	13585	14366	14366	781	781	5.7%	https://www.machinerytrader.com/listing/auction-results/194351767/komatsu-pc40-mini-up-to-12000-lbs-excavators	0.675	330	4599	3818
Case	CX 75 SR	2007	2022.5	6000		1	1		1	1	1	3	54	7591	40000	50551	45850	10551	5850	26.4%	(acquaintance)	2.155	1054	14677	4126
Bob	337	2008	2022.2	4280	1					1	1	3	53	5039	31743	40196	40196	8453	8453	26.6%	https://www.machinerytrader.com/listing/auction-results/210916709/2008-bobcat-337-mini-up-to-12000-lbs-excavators	1.889	924	12867	4414
Kob	SK55	2015	2022.5	3210		1	1		1	2	1	4.5	37	5060	45500	57852	52472	12352	6972	27.1%	https://www.kijiji.ca/v-heavy-equipment-machinery/mississauga-peel-region/kobelco-excavator-sk55-hyd-thumb-2-bkt-ac/1621415387	2.466	1206	16797	4445
Hit	ZX35U-5	2013	2021.8	2407	1				1	1	1	4	23	3520	30300	37979	37979	7679	7679	25.3%	https://www.machinerytrader.com/listing/auction-results/208738737/2013-hitachi-zx35u-5-mini-up-to-12000-lbs-excavators	1.785	873	12157	4479
Hit	ZX50U-5	2017	2021.9	1047	1				1	1		4.5	36	4790	41605	54564	54564	12959	12959	31.1%	https://www.machinerytrader.com/listing/auction-results/210649855/2017-hitachi-zx50u-5-mini-up-to-12000-lbs-excavators	2.564	1255	17467	4508
Tak	TB145	2006	2021.95	3350	1					1	1	3	38	4881	29149	36229	36229	7080	7080	24.3%	https://www.machinerytrader.com/listing/auction-results/206724835/2006-takeuchi-tb145-mini-up-to-12000-lbs-excavators	1.703	833	11597	4517
Cat	304C CR	2007	2022	3459	1					2	1	4	42	4750	36685	46565	46565	9880	9880	26.9%	https://www.machinerytrader.com/listing/auction-results/194351919/caterpillar-304c-cr-mini-up-to-12000-lbs-excavators	2.189	1071	14906	5026
Cat	304D CR	2012	2021.9	5394	1				1	1	1	4	39	5250	36775	46398	46398	9623	9623	26.2%	https://www.machinerytrader.com/listing/auction-results/210370753/2012-caterpillar-304d-cr-mini-up-to-12000-lbs-excavators	2.181	1067	14853	5229
Volvo	EC55B	2005	2021.4	11707	1					1	1	3	50	5209	19675	21067	21067	1392	1392	7.1%	https://www.machinerytrader.com/listing/auction-results/203306235/2005-volvo-ec55b-mini-up-to-12000-lbs-excavators	0.990	484	6744	5352
Kub	KX040	2013	2022.3	860	1	1			1	3	1	5	42	4490	55000	72992	72992	17992	17992	32.7%	https://www.kijiji.ca/v-heavy-equipment-machinery/red-deer/2013-kx040-kubota/1616668579	3.431	1678	23365	5374
Bob	E26	2015	2022.4	2910		1				1		3.5	25	2950	35500	42409	38465	6909	2965	19.5%	https://www.kijiji.ca/v-heavy-equipment-machinery/cambridge/bobcat-excavator-e26/1620450253	1.808	884	12313	5404
